,Anio,Mes,Semana,Hora,Viajes,Viajes_M,Viajes_F,Edad_Usuario,Duracion
166,2011,2,7,12,2982,2145.0,837.0,34.57209926224011,15.597764363961549
167,2011,2,7,13,3392,2432.0,960.0,34.54923349056604,15.028572130503163
168,2011,2,7,14,4637,3429.0,1208.0,33.734742290273886,12.725835669613998
169,2011,2,7,15,4561,3396.0,1165.0,33.62771322078491,12.507220638748777
170,2011,2,7,16,4043,2981.0,1062.0,33.89760079149146,12.582962321708278
171,2011,2,7,17,3474,2527.0,947.0,33.73575129533679,12.840505661101556
172,2011,2,7,18,4330,3119.0,1211.0,33.2270207852194,12.471893764434185
173,2011,2,7,19,4011,2906.0,1105.0,32.97905759162304,12.842591207512704
174,2011,2,7,20,3055,2241.0,814.0,32.5152209492635,13.052198581560296
175,2011,2,7,21,2186,1614.0,572.0,32.28911253430924,11.640591643793847
176,2011,2,7,22,1341,1030.0,311.0,31.765846383296047,11.033880188913749
177,2011,2,7,23,621,483.0,138.0,31.650563607085346,10.541519055287173
178,2011,2,8,0,284,224.0,60.0,32.54577464788732,13.26379107981221
179,2011,2,8,1,6,6.0,,40.5,50.855555555555554
180,2011,2,8,6,453,337.0,116.0,34.45474613686534,7.50080941869022
181,2011,2,8,7,1571,1135.0,436.0,34.4373010821133,8.320952684065333
182,2011,2,8,8,3580,2625.0,955.0,33.63826815642458,9.367918994413424
183,2011,2,8,9,4132,3039.0,1093.0,33.38649564375605,9.998390609874154
184,2011,2,8,10,2852,2087.0,765.0,34.49649368863955,12.078284244974293
185,2011,2,8,11,2804,2073.0,731.0,34.84700427960057,13.325921302900612
186,2011,2,8,12,3117,2248.0,869.0,34.62111004170677,14.336835632552658
187,2011,2,8,13,3660,2656.0,1004.0,34.66912568306011,14.197782331511847
188,2011,2,8,14,4663,3427.0,1236.0,33.482521981556935,12.525763099578203
189,2011,2,8,15,4737,3470.0,1267.0,33.62571247625079,12.22699669270289
190,2011,2,8,16,4241,3138.0,1103.0,33.589719405800516,12.875760433859915
191,2011,2,8,17,3775,2777.0,998.0,33.58013245033113,12.96200000000001
192,2011,2,8,18,4879,3456.0,1423.0,32.91781102684976,12.289147366263604
193,2011,2,8,19,4498,3299.0,1199.0,32.83881725211205,12.252234326367255
194,2011,2,8,20,3294,2395.0,899.0,32.645719489981786,12.04749544626593
195,2011,2,8,21,2345,1724.0,621.0,32.79147121535181,12.553845060412224
196,2011,2,8,22,1628,1232.0,396.0,32.25429975429975,12.506019656019653
197,2011,2,8,23,959,789.0,170.0,32.10010427528676,10.595498783454989
198,2011,2,9,0,15,11.0,4.0,29.4,12.612222222222222
199,2011,2,9,6,67,51.0,16.0,35.38805970149254,7.549004975124378
200,2011,2,9,7,279,197.0,82.0,35.51971326164875,8.28393070489844
201,2011,2,9,8,668,481.0,187.0,32.91467065868263,8.748003992015972
202,2011,2,9,9,701,521.0,180.0,33.25249643366619,9.659510223490257
203,2011,2,9,10,414,305.0,109.0,34.92270531400966,9.547181964573273
204,2011,2,9,11,422,326.0,96.0,34.817535545023695,10.563744075829383
